time;V(/VC1);
0.0022428;4.46921;
0.0022528;4.47449;
0.0022628;4.47972;
0.0022728;4.48489;
0.0022828;4.49002;
0.0022928;4.49509;
0.0023028;4.50012;
0.0023128;4.50509;
0.0023228;4.51002;
0.0023328;4.51489;
0.0023428;4.51972;
0.0023528;4.5245;
0.0023628;4.52923;
0.0023728;4.53391;
0.0023828;4.53855;
0.0023928;4.54314;
0.0024028;4.54769;
0.0024128;4.55219;
0.0024228;4.55664;
0.0024328;4.56106;
0.0024428;4.56542;
0.0024528;4.56975;
0.0024628;4.57403;
0.0024728;4.57827;
0.0024828;4.58246;
0.0024928;4.58662;
0.0025028;4.59073;
0.0025128;4.5948;
0.0025228;4.59884;
0.0025328;4.60283;
0.0025428;4.60678;
0.0025528;4.61069;
0.0025628;4.61457;
0.0025728;4.6184;
0.0025828;4.6222;
0.0025928;4.62596;
0.0026028;4.62968;
0.0026128;4.63336;
0.0026228;4.63701;
0.0026328;4.64062;
0.0026428;4.6442;
0.0026528;4.64774;
0.0026628;4.65124;
0.0026728;4.65471;
0.0026828;4.65815;
0.0026928;4.66155;
0.0027028;4.66492;
0.0027128;4.66825;
0.0027228;4.67155;
0.0027328;4.67482;
0.0027428;4.67806;
0.0027528;4.68126;
0.0027628;4.68443;
0.0027728;4.68757;
0.0027828;4.69068;
0.0027928;4.69376;
0.0028028;4.69681;
0.0028128;4.69982;
0.0028228;4.70281;
0.0028328;4.70577;
0.0028428;4.7087;
0.0028528;4.71159;
0.0028628;4.71446;
0.0028728;4.7173;
0.0028828;4.72012;
0.0028928;4.7229;
0.0029028;4.72566;
0.0029128;4.72839;
0.0029228;4.73109;
0.0029328;4.73377;
0.0029428;4.73642;
0.0029528;4.73904;
0.0029628;4.74164;
0.0029728;4.74421;
0.0029828;4.74675;
0.0029928;4.74927;
0.0030028;4.75177;
0.0030128;4.75424;
0.0030228;4.75668;
0.0030328;4.7591;
0.0030428;4.7615;
0.0030528;4.76387;
0.0030628;4.76622;
0.0030728;4.76855;
0.0030828;4.77085;
0.0030928;4.77313;
0.0031028;4.77539;
0.0031128;4.77762;
0.0031228;4.77984;
0.0031328;4.78203;
0.0031428;4.7842;
0.0031528;4.78634;
0.0031628;4.78847;
0.0031728;4.79057;
0.0031828;4.79266;
0.0031928;4.79472;
0.0032028;4.79676;
0.0032128;4.79879;
0.0032228;4.80079;
0.0032328;4.80277;
0.0032428;4.80473;
0.0032528;4.80668;
0.0032628;4.8086;
0.0032728;4.8105;
0.0032828;4.81239;
0.0032928;4.81426;
0.0033028;4.8161;
0.0033128;4.81793;
0.0033228;4.81975;
0.0033328;4.82154;
0.0033428;4.82332;
0.0033528;4.82507;
0.0033628;4.82681;
0.0033728;4.82854;
0.0033828;4.83024;
0.0033928;4.83193;
0.0034028;4.8336;
0.0034128;4.83526;
0.0034228;4.8369;
0.0034328;4.83852;
0.0034428;4.84013;
0.0034528;4.84172;
0.0034628;4.8433;
0.0034728;4.84485;
0.0034828;4.8464;
0.0034928;4.84793;
0.0035028;4.84944;
0.0035128;4.85094;
0.0035228;4.85242;
0.0035328;4.85389;
0.0035428;4.85534;
0.0035528;4.85678;
0.0035628;4.85821;
0.0035728;4.85962;
0.0035828;4.86102;
0.0035928;4.8624;
0.0036028;4.86377;
0.0036128;4.86512;
0.0036228;4.86647;
0.0036328;4.86779;
0.0036428;4.86911;
0.0036528;4.87041;
0.0036628;4.8717;
0.0036728;4.87298;
0.0036828;4.87424;
0.0036928;4.87549;
0.0037028;4.87673;
0.0037128;4.87796;
0.0037228;4.87917;
0.0037328;4.88037;
0.0037428;4.88157;
0.0037528;4.88274;
0.0037628;4.88391;
0.0037728;4.88507;
0.0037828;4.88621;
0.0037928;4.88734;
0.0038028;4.88846;
0.0038128;4.88957;
0.0038228;4.89067;
0.0038328;4.89176;
0.0038428;4.89284;
0.0038528;4.8939;
0.0038628;4.89496;
0.0038728;4.896;
0.0038828;4.89704;
0.0038928;4.89806;
0.0039028;4.89908;
0.0039128;4.90008;
0.0039228;4.90108;
0.0039328;4.90206;
0.0039428;4.90303;
0.0039528;4.904;
0.0039628;4.90495;
0.0039728;4.9059;
0.0039828;4.90684;
0.0039928;4.90776;
0.0040028;4.90868;
0.0040128;4.90959;
0.0040228;4.91049;
0.0040328;4.91138;
0.0040428;4.91226;
0.0040528;4.91313;
0.0040628;4.914;
0.0040728;4.91485;
0.0040828;4.9157;
0.0040928;4.91654;
0.0041028;4.91737;
0.0041128;4.91819;
0.0041228;4.91901;
0.0041328;4.91981;
0.0041428;4.92061;
0.0041528;4.9214;
0.0041628;4.92218;
0.0041728;4.92296;
0.0041828;4.92372;
0.0041928;4.92448;
0.0042028;4.92523;
0.0042128;4.92598;
0.0042228;4.92671;
0.0042328;4.92744;
0.0042428;4.92817;
0.0042528;4.92888;
0.0042628;4.92959;
0.0042728;4.93029;
0.0042828;4.93098;
0.0042928;4.93167;
0.0043028;4.93235;
0.0043128;4.93302;
0.0043228;4.93369;
0.0043328;4.93435;
0.0043428;4.935;
0.0043528;4.93565;
0.0043628;4.93629;
0.0043728;4.93692;
0.0043828;4.93755;
0.0043928;4.93817;
0.0044028;4.93879;
0.0044128;4.9394;
0.0044228;4.94;
0.0044328;4.9406;
0.0044428;4.94119;
0.0044528;4.94177;
0.0044628;4.94235;
0.0044728;4.94293;
0.0044828;4.94349;
0.0044928;4.94406;
0.0045028;4.94461;
0.0045128;4.94516;
0.0045228;4.94571;
0.0045328;4.94625;
0.0045428;4.94678;
0.0045528;4.94731;
0.0045628;4.94784;
0.0045728;4.94836;
0.0045828;4.94887;
0.0045928;4.94938;
0.0046028;4.94988;
0.0046128;4.95038;
0.0046228;4.95088;
0.0046328;4.95136;
0.0046428;4.95185;
0.0046528;4.95233;
0.0046628;4.9528;
0.0046728;4.95327;
0.0046828;4.95374;
0.0046928;4.9542;
0.0047028;4.95465;
0.0047128;4.9551;
0.0047228;4.95555;
0.0047328;4.95599;
0.0047428;4.95643;
0.0047528;4.95686;
0.0047628;4.95729;
0.0047728;4.95772;
0.0047828;4.95814;
0.0047928;4.95856;
0.0048028;4.95897;
0.0048128;4.95938;
0.0048228;4.95978;
0.0048328;4.96018;
0.0048428;4.96058;
0.0048528;4.96097;
0.0048628;4.96136;
0.0048728;4.96174;
0.0048828;4.96212;
0.0048928;4.9625;
0.0049028;4.96287;
0.0049128;4.96324;
0.0049228;4.96361;
0.0049328;4.96397;
0.0049428;4.96433;
0.0049528;4.96468;
0.0049628;4.96503;
0.0049728;4.96538;
0.0049828;4.96573;
0.0049928;4.96607;
0.0050028;4.96641;
0.0050128;4.96674;
0.0050228;4.96707;
0.0050328;4.9674;
0.0050428;4.96772;
0.0050528;4.96804;
0.0050628;4.96836;
0.0050728;4.96868;
0.0050828;4.96899;
