time;V(/V2in);V(/Vl);
3.76955e-05;-4.04613;-0.554491;
3.80095e-05;-3.95191;-0.444589;
3.83235e-05;-3.8538;-0.334249;
3.86375e-05;-3.75189;-0.223579;
3.89515e-05;-3.64628;-0.112689;
3.92655e-05;-3.53707;-0.00168716;
3.95795e-05;-3.42438;0.109316;
3.98935e-05;-3.30831;0.220211;
4.02075e-05;-3.18898;0.330889;
4.05215e-05;-3.0665;0.441241;
4.08355e-05;-2.94101;0.551158;
4.11495e-05;-2.81261;0.660532;
4.14635e-05;-2.68144;0.769254;
4.17775e-05;-2.54763;0.877218;
4.20915e-05;-2.4113;0.984317;
4.24055e-05;-2.2726;1.09045;
4.27195e-05;-2.13165;1.1955;
4.30335e-05;-1.98861;1.29937;
4.33475e-05;-1.84361;1.40197;
4.36615e-05;-1.69678;1.50318;
4.39755e-05;-1.54829;1.60291;
4.42895e-05;-1.39827;1.70106;
4.46035e-05;-1.24686;1.79753;
4.49175e-05;-1.09424;1.89223;
4.52315e-05;-0.940527;1.98507;
4.55455e-05;-0.785891;2.07595;
4.58595e-05;-0.63048;2.16478;
4.61735e-05;-0.474448;2.25147;
4.64875e-05;-0.317949;2.33595;
4.68015e-05;-0.161135;2.41813;
4.71155e-05;-0.00416309;2.49792;
4.74295e-05;0.152813;2.57524;
4.77435e-05;0.309639;2.65003;
4.80575e-05;0.466159;2.72221;
4.83715e-05;0.62222;2.7917;
4.86855e-05;0.777667;2.85844;
4.89995e-05;0.932348;2.92236;
4.93135e-05;1.08611;2.9834;
4.96275e-05;1.2388;3.0415;
4.99415e-05;1.39027;3.0966;
5.02555e-05;1.54037;3.14865;
5.05695e-05;1.68895;3.1976;
5.08835e-05;1.83586;3.24339;
5.11975e-05;1.98097;3.28598;
5.15115e-05;2.12412;3.32534;
5.18255e-05;2.26518;3.36141;
5.21395e-05;2.404;3.39417;
5.24535e-05;2.54046;3.42359;
5.27675e-05;2.67441;3.44963;
5.30815e-05;2.80572;3.47227;
5.33955e-05;2.93427;3.49149;
5.37095e-05;3.05992;3.50726;
5.40235e-05;3.18256;3.51958;
5.43375e-05;3.30206;3.52842;
5.46515e-05;3.41831;3.53379;
5.49655e-05;3.53118;3.53568;
5.52795e-05;3.64057;3.53407;
5.55935e-05;3.74638;3.52899;
5.59075e-05;3.84849;3.52042;
5.62215e-05;3.94681;3.50839;
5.65355e-05;4.04123;3.49289;
5.68495e-05;4.13167;3.47396;
5.71635e-05;4.21804;3.45159;
5.74775e-05;4.30025;3.42583;
5.77915e-05;4.37822;3.39668;
5.81055e-05;4.45187;3.36419;
5.84195e-05;4.52114;3.32838;
5.87335e-05;4.58595;3.28929;
5.90475e-05;4.64623;3.24696;
5.93615e-05;4.70194;3.20142;
5.96755e-05;4.75301;3.15273;
5.99895e-05;4.79939;3.10094;
6.03035e-05;4.84104;3.04608;
