time;V(/V1in);V(/Vc);
0.00132227;1.22989;3.03814;
0.00133045;1.19021;3.02324;
0.00133897;1.14879;3.00752;
0.00134768;1.10633;2.9912;
0.00135544;1.0685;2.9765;
0.00136367;1.02824;2.96068;
0.00137299;0.982587;2.94255;
0.00138149;0.940882;2.92578;
0.00139018;0.898185;2.90843;
0.00139819;0.858751;2.89223;
0.00140819;0.809452;2.87175;
0.00141621;0.769878;2.85513;
0.00142435;0.729608;2.83805;
0.00143285;0.687538;2.82002;
0.00144164;0.643969;2.80116;
0.0014493;0.60598;2.78456;
0.00145755;0.565009;2.76649;
0.0014666;0.520034;2.74646;
0.00147513;0.477601;2.72737;
0.00148386;0.434146;2.70763;
0.00149182;0.394471;2.68945;
0.00150182;0.344608;2.66636;
0.00150994;0.304094;2.64742;
0.0015182;0.262847;2.62797;
0.00152658;0.220987;2.60805;
0.00153658;0.171025;2.58405;
0.00154455;0.131232;2.56476;
0.001553;0.0889817;2.5441;
0.00156222;0.0428778;2.52135;
0.00157054;0.00126286;2.50063;
0.00157905;-0.041246;2.4793;
0.00158718;-0.0819251;2.45871;
0.00159718;-0.131913;2.43318;
0.00160512;-0.171568;2.41275;
0.00161332;-0.212558;2.39146;
0.00162184;-0.255109;2.36919;
0.00163053;-0.298494;2.3463;
0.00163831;-0.337292;2.32566;
0.00164654;-0.378358;2.30366;
0.00165595;-0.425267;2.27831;
0.00166444;-0.467547;2.25528;
0.00167312;-0.51071;2.23157;
0.00168114;-0.550621;2.20949;
0.00169114;-0.600289;2.18178;
0.00169912;-0.639879;2.15951;
0.00170727;-0.680265;2.13663;
0.00171579;-0.722439;2.11255;
0.00172454;-0.765715;2.08766;
0.00173225;-0.803779;2.0656;
0.00174049;-0.844429;2.04188;
0.00174969;-0.889704;2.01526;
0.0017582;-0.931556;1.99045;
0.00176691;-0.974285;1.96494;
0.0017749;-1.01344;1.9414;
0.0017849;-1.06235;1.91175;
0.00179296;-1.10171;1.88771;
0.00180116;-1.14166;1.86313;
0.0018096;-1.18273;1.83769;
0.00181851;-1.22594;1.81072;
0.00182614;-1.26287;1.78752;
0.00183441;-1.30285;1.76222;
0.00184332;-1.34581;1.73484;
0.00185185;-1.38686;1.70849;
0.00186059;-1.42877;1.68138;
0.00186853;-1.46679;1.65662;
0.00187853;-1.51452;1.6253;
0.0018867;-1.55338;1.59961;
0.00189502;-1.59285;1.57333;
0.00190335;-1.63228;1.5469;
0.00191335;-1.67946;1.51503;
0.00192123;-1.71652;1.48981;
0.00192969;-1.75622;1.46261;
0.00193873;-1.79842;1.43348;
0.00194708;-1.83732;1.40645;
0.00195561;-1.87695;1.3787;
0.00196371;-1.91439;1.35231;
0.00197371;-1.96049;1.31957;
0.00198172;-1.99729;1.29325;
0.00198986;-2.03455;1.26641;
0.00199837;-2.07333;1.23828;
0.00200716;-2.11322;1.20914;
0.00201482;-2.1479;1.18363;
0.00202307;-2.18507;1.15611;
0.00203214;-2.22578;1.12575;
0.00204067;-2.26387;1.09713;
0.00204939;-2.30268;1.06777;
0.00205736;-2.33797;1.04089;
0.00206736;-2.38204;1.00705;
0.00207547;-2.41762;0.979528;
0.00208372;-2.45365;0.95146;
0.00209212;-2.49013;0.922851;
0.00210212;-2.53336;0.888676;
0.00211009;-2.56767;0.861345;
0.00211854;-2.60383;0.832343;
0.0021278;-2.64325;0.800486;
0.00213612;-2.67846;0.771815;
0.00214462;-2.71423;0.742478;
0.00215276;-2.74834;0.7143;
0.00216276;-2.78997;0.679638;
0.00217068;-2.82274;0.652144;
0.0021789;-2.85658;0.62355;
0.00218742;-2.89143;0.59388;
0.00219609;-2.92669;0.563639;
0.00220388;-2.95817;0.53644;
0.00221212;-2.99127;0.507642;
0.00222159;-3.02911;0.474459;
0.00223008;-3.06274;0.444723;
0.00223874;-3.09687;0.414316;
0.00224678;-3.12833;0.386077;
0.00225678;-3.16717;0.350915;
0.00226473;-3.19785;0.32292;
0.00227291;-3.22918;0.294117;
0.00228143;-3.26157;0.264096;
0.00229015;-3.2945;0.233342;
0.0022979;-3.32354;0.205999;
0.00230613;-3.35419;0.176924;
0.00231544;-3.38857;0.144042;
0.00232395;-3.4197;0.114007;
0.00233263;-3.45127;0.083299;
0.00234064;-3.48013;0.0549858;
0.00235064;-3.51586;0.0196327;
0.00235866;-3.54426;-0.00871904;
0.00236681;-3.57288;-0.0375347;
0.00237531;-3.60247;-0.0675664;
0.00238411;-3.63283;-0.0986553;
0.00239176;-3.65901;-0.125699;
0.00240001;-3.687;-0.15485;
0.00240904;-3.71736;-0.186754;
0.00241757;-3.74575;-0.216865;
0.0024263;-3.77452;-0.247663;
0.00243426;-3.80051;-0.275727;
0.00244426;-3.83281;-0.31096;
0.00245239;-3.85877;-0.339566;
0.00246066;-3.88493;-0.368653;
0.00246903;-3.91116;-0.398092;
0.00247903;-3.94211;-0.433202;
0.00248699;-3.96644;-0.461093;
0.00249544;-3.99204;-0.49071;
0.00250464;-4.01956;-0.522895;
0.00251297;-4.04418;-0.551991;
0.00252147;-4.06904;-0.581675;
0.0025296;-4.09254;-0.610013;
0.0025396;-4.12106;-0.644807;
0.00254755;-4.14342;-0.672401;
0.00255574;-4.16621;-0.700817;
0.00256426;-4.18961;-0.730316;
0.00257296;-4.2132;-0.760391;
0.00258073;-4.23399;-0.78719;
0.00258896;-4.25574;-0.815541;
0.00259834;-4.28016;-0.847755;
0.00260683;-4.30196;-0.876878;
0.00261551;-4.32391;-0.906574;
0.00262353;-4.34391;-0.933955;
0.00263353;-4.36845;-0.968007;
0.00264153;-4.38776;-0.99516;
0.00264966;-4.40711;-1.02271;
0.00265818;-4.42707;-1.05151;
0.00266695;-4.44729;-1.08108;
0.00267464;-4.46471;-1.10692;
0.00268288;-4.48312;-1.13457;
0.00269201;-4.50315;-1.16509;
0.00270053;-4.5215;-1.19348;
0.00270925;-4.53993;-1.22244;
0.00271722;-4.55649;-1.24887;
0.00272722;-4.57685;-1.28188;
0.00273531;-4.59299;-1.30849;
0.00274354;-4.60909;-1.33547;
0.00275196;-4.62524;-1.36297;
0.00276095;-4.64213;-1.39225;
0.00276857;-4.65615;-1.41697;
0.00277686;-4.67109;-1.44378;
0.00278572;-4.68672;-1.47233;
0.00279425;-4.70141;-1.4997;
0.00280299;-4.7161;-1.52762;
0.00281093;-4.72914;-1.55288;
0.00282093;-4.74514;-1.58457;
0.00282911;-4.75787;-1.61037;
0.00283744;-4.77051;-1.63653;
0.00284576;-4.7828;-1.66255;
0.00285576;-4.79714;-1.69367;
0.00286362;-4.80807;-1.718;
0.00287209;-4.81952;-1.74411;
0.00288107;-4.83127;-1.77165;
0.00288942;-4.84187;-1.79716;
0.00289797;-4.85235;-1.82312;
0.00290605;-4.86194;-1.84754;
0.00291605;-4.87337;-1.87759;
0.00292409;-4.8822;-1.9016;
0.00293226;-4.89085;-1.92588;
0.00294074;-4.89948;-1.95096;
0.00294954;-4.90808;-1.97685;
0.00295718;-4.91522;-1.99918;
0.00296544;-4.92262;-2.02318;
0.00297443;-4.9303;-2.04917;
0.00298296;-4.93722;-2.07369;
0.0029917;-4.94394;-2.09862;
0.00299965;-4.94972;-2.12118;
0.00300965;-4.95654;-2.14936;
0.00301779;-4.96173;-2.17215;
0.00302608;-4.96668;-2.19519;
0.00303444;-4.97132;-2.21828;
0.00304444;-4.97642;-2.2457;
0.00305236;-4.98011;-2.26726;
0.00306082;-4.9837;-2.29013;
0.00306995;-4.98717;-2.31462;
0.00307829;-4.98998;-2.33682;
0.00308681;-4.9925;-2.35934;
0.00309492;-4.99456;-2.38063;
0.00310492;-4.99664;-2.40665;
0.00311289;-4.99794;-2.42722;
0.00312106;-4.99895;-2.44812;
0.00312958;-4.99964;-2.46977;
0.00313831;-4.99997;-2.49178;
0.00314604;-4.99995;-2.51108;
0.00315428;-4.9996;-2.5315;
0.00316353;-4.9988;-2.55422;
0.00317203;-4.99768;-2.57492;
0.00318073;-4.99617;-2.59589;
0.00318873;-4.99445;-2.61501;
0.00319873;-4.99184;-2.63867;
0.00320677;-4.98938;-2.65752;
0.00321495;-4.98655;-2.6765;
0.00322342;-4.98327;-2.69596;
0.00323226;-4.97946;-2.71607;
0.00323989;-4.97586;-2.73326;
0.00324815;-4.97164;-2.75169;
0.00325711;-4.96668;-2.77147;
0.00326564;-4.96158;-2.79011;
0.00327438;-4.95598;-2.80897;
0.00328233;-4.95056;-2.82595;
0.00329233;-4.9433;-2.84705;
0.00330048;-4.93702;-2.86405;
0.00330878;-4.93028;-2.88115;
0.00331713;-4.92317;-2.89816;
0.00332713;-4.91419;-2.91826;
0.00333503;-4.90674;-2.93395;
0.00334349;-4.89843;-2.95053;
0.00335258;-4.88912;-2.96811;
0.00336092;-4.88022;-2.98403;
0.00336945;-4.87076;-3.00009;
0.00337755;-4.86145;-3.01515;
0.00338755;-4.84952;-3.03347;
0.00339554;-4.83963;-3.04788;
0.00340368;-4.82925;-3.06236;
0.00341221;-4.81803;-3.07731;
0.00342097;-4.80614;-3.09244;
0.00342866;-4.79538;-3.10554;
0.00343691;-4.78355;-3.11937;
0.00344607;-4.77002;-3.13448;
0.00345459;-4.75708;-3.1483;
0.0034633;-4.74349;-3.16219;
0.00347128;-4.73072;-3.17471;
0.00348128;-4.71429;-3.19011;
0.00348936;-4.70068;-3.20232;
0.00349757;-4.68653;-3.21452;
0.003506;-4.67167;-3.22681;
0.00351495;-4.65554;-3.23961;
0.00352257;-4.6415;-3.25031;
0.00353085;-4.62595;-3.26172;
0.00353974;-4.6089;-3.27372;
0.00354827;-4.59219;-3.28499;
0.00355701;-4.57474;-3.29629;
0.00356495;-4.55857;-3.30633;
0.00357495;-4.5378;-3.31869;
0.00358313;-4.52049;-3.32854;
0.00359145;-4.50255;-3.33835;
0.00359977;-4.48429;-3.34793;
0.00360977;-4.46195;-3.35912;
0.00361764;-4.44406;-3.3677;
0.00362611;-4.4245;-3.37669;
0.00363511;-4.40335;-3.38599;
0.00364347;-4.38341;-3.39437;
0.00365201;-4.3627;-3.40269;
0.0036601;-4.3428;-3.41034;
0.0036701;-4.31781;-3.4195;
0.00367812;-4.29743;-3.4266;
0.00368628;-4.27644;-3.43359;
0.00369477;-4.25429;-3.44062;
0.00370357;-4.23102;-3.44764;
0.00371122;-4.21051;-3.45354;
0.00371947;-4.18811;-3.45967;
0.0037285;-4.16328;-3.4661;
0.00373703;-4.1395;-3.47192;
0.00374576;-4.11486;-3.47762;
0.00375372;-4.09213;-3.48258;
0.00376372;-4.06319;-3.4885;
0.00377185;-4.03938;-3.49306;
0.00378012;-4.01487;-3.49746;
0.00378849;-3.98977;-3.50167;
0.00379849;-3.95944;-3.50637;
0.00380644;-3.93504;-3.50986;
0.0038149;-3.90882;-3.51333;
0.00382409;-3.88;-3.51682;
0.00383242;-3.8536;-3.51972;
0.00384092;-3.82636;-3.52243;
0.00384905;-3.80006;-3.52479;
0.00385905;-3.76738;-3.52737;
0.003867;-3.74114;-3.52916;
0.00387519;-3.71384;-3.53078;
0.00388371;-3.68519;-3.53221;
0.00389242;-3.65563;-3.53341;
0.00390018;-3.62903;-3.53425;
0.00390842;-3.60059;-3.53491;
0.00391778;-3.56795;-3.53537;
0.00392627;-3.53806;-3.53552;
0.00393496;-3.50726;-3.53541;
0.00394297;-3.47857;-3.53507;
0.00395297;-3.44248;-3.53433;
0.00396097;-3.41336;-3.53348;
0.0039691;-3.38355;-3.53239;
0.00397762;-3.35207;-3.53099;
0.0039864;-3.31938;-3.52929;
0.00399408;-3.29057;-3.52757;
0.00400232;-3.25941;-3.52549;
0.00401143;-3.22474;-3.52293;
0.00401996;-3.19206;-3.52026;
0.00402867;-3.15838;-3.51726;
0.00403665;-3.12738;-3.51429;
0.00404665;-3.08821;-3.51024;
0.00405474;-3.05627;-3.50671;
0.00406298;-3.02357;-3.50288;
0.00407139;-2.98999;-3.49873;
0.00408139;-2.94976;-3.49347;
0.00408939;-2.91736;-3.489;
0.00409784;-2.88296;-3.48405;
0.00410716;-2.84477;-3.4783;
0.00411546;-2.8105;-3.47291;
0.00412395;-2.77531;-3.46717;
0.00413211;-2.7413;-3.46141;
0.00414211;-2.69934;-3.45404;
0.00415;-2.66603;-3.44797;
0.00415825;-2.63105;-3.4414;
0.00416677;-2.59473;-3.43437;
0.00417541;-2.5577;-3.42699;
0.00418322;-2.52409;-3.4201;
0.00419146;-2.48844;-3.4126;
0.00420103;-2.4468;-3.4036;
0.0042095;-2.40977;-3.39537;
0.00421815;-2.37178;-3.38672;
0.00422621;-2.33625;-3.37843;
0.00423621;-2.29192;-3.36784;
0.00424413;-2.25668;-3.35922;
0.00425235;-2.21991;-3.35004;
0.00426087;-2.18168;-3.34029;
0.00426954;-2.14258;-3.33012;
0.00427732;-2.10734;-3.32077;
0.00428556;-2.06992;-3.31066;
0.00429503;-2.02672;-3.29876;
0.00430352;-1.98787;-3.28785;
0.00431218;-1.94804;-3.27647;
0.00432022;-1.91096;-3.26568;
0.00433022;-1.86467;-3.25197;
0.00433818;-1.8277;-3.24083;
0.00434635;-1.78958;-3.22917;
0.00435487;-1.74975;-3.21679;
0.00436359;-1.70883;-3.20387;
0.00437134;-1.67238;-3.1922;
0.00437957;-1.63352;-3.17957;
0.00438888;-1.58949;-3.16505;
0.00439738;-1.54913;-3.15154;
0.00440607;-1.50776;-3.1375;
0.00441408;-1.46953;-3.12435;
0.00442408;-1.42167;-3.10764;
0.0044321;-1.38317;-3.09402;
0.00444025;-1.34394;-3.07997;
0.00444874;-1.303;-3.06511;
0.00445754;-1.26048;-3.04949;
0.00446519;-1.22343;-3.03572;
0.00447344;-1.18338;-3.02066;
0.00448247;-1.1395;-3.00396;
0.004491;-1.09792;-2.98794;
0.00449973;-1.05529;-2.97133;
0.00450769;-1.01637;-2.95599;
0.00451769;-0.967362;-2.93644;
0.00452582;-0.927448;-2.92034;
0.00453409;-0.886765;-2.90375;
0.00454246;-0.845542;-2.88676;
0.00455246;-0.796221;-2.86621;
0.00456041;-0.75698;-2.84967;
0.00456886;-0.715165;-2.83187;
0.00457804;-0.66971;-2.81233;
0.00458637;-0.628418;-2.79438;
0.00459488;-0.586185;-2.77585;
0.00460301;-0.54581;-2.75796;
0.00461301;-0.496083;-2.7357;
0.00462096;-0.456504;-2.71781;
0.00462914;-0.415739;-2.69921;
0.00463766;-0.373271;-2.67966;
0.00464638;-0.329819;-2.65946;
0.00465413;-0.291098;-2.64131;
0.00466237;-0.249988;-2.62187;
0.00467171;-0.203333;-2.5996;
0.00468021;-0.160873;-2.57914;
0.00468889;-0.117466;-2.55804;
0.00469691;-0.0773987;-2.5384;
0.00470691;-0.0274016;-2.51366;
0.00471491;0.0126357;-2.49367;
0.00472305;0.0533221;-2.4732;
0.00473156;0.0958621;-2.45161;
0.00474035;0.139776;-2.42914;
0.00474801;0.178094;-2.40937;
0.00475626;0.219309;-2.38794;
0.00476534;0.26464;-2.36418;
0.00477387;0.307199;-2.34168;
0.00478259;0.350719;-2.31848;
0.00479056;0.390449;-2.29714;
0.00480056;0.440276;-2.27015;
0.00480867;0.480647;-2.2481;
0.00481692;0.52169;-2.22551;
0.00482531;0.563413;-2.20237;
0.00483531;0.613065;-2.17461;
0.00484329;0.652653;-2.15229;
0.00485174;0.694511;-2.12851;
0.00486101;0.740373;-2.10226;
0.00486932;0.781472;-2.07854;
0.00487782;0.823389;-2.05418;
0.00488596;0.863537;-2.03067;
0.00489596;0.912742;-2.00162;
0.00490388;0.951624;-1.97849;
0.00491211;0.99197;-1.95432;
0.00492063;1.03368;-1.92915;
0.00492929;1.07604;-1.9034;
0.00493708;1.11405;-1.88014;
0.00494532;1.15415;-1.85541;
0.00495481;1.20027;-1.82677;
0.00496329;1.24139;-1.80103;
0.00497195;1.2833;-1.77461;
0.00497999;1.32212;-1.74996;
0.00498999;1.37027;-1.71915;
0.00499794;1.40845;-1.69454;
0.00500613;1.44767;-1.66909;
0.00501464;1.48838;-1.64248;
0.00502336;1.52992;-1.61514;
0.00503111;1.56679;-1.5907;
0.00503935;1.60584;-1.56464;
0.00504868;1.64996;-1.53498;
0.00505718;1.69001;-1.50786;
0.00506587;1.73082;-1.48003;
0.00507388;1.76836;-1.45425;
0.00508388;1.81504;-1.42195;
0.00509189;1.8523;-1.39598;
0.00510003;1.89004;-1.36949;
0.00510854;1.92935;-1.34172;
0.00511733;1.96981;-1.31292;
0.00512499;2.00497;-1.28772;
0.00513324;2.04269;-1.26052;
0.0051423;2.08398;-1.23052;
0.00515083;2.12266;-1.20221;
0.00515956;2.16207;-1.17316;
0.00516752;2.19792;-1.14655;
0.00517752;2.24272;-1.11305;
0.00518564;2.2789;-1.08579;
0.00519389;2.31556;-1.05798;
0.00520228;2.35266;-1.02964;
0.00521228;2.39666;-0.995765;
0.00522025;2.43157;-0.968681;
0.0052287;2.4684;-0.939915;
0.00523795;2.50852;-0.908348;
0.00524627;2.54441;-0.879891;
0.00525477;2.58089;-0.850765;
0.00526291;2.61568;-0.822794;
0.00527291;2.65816;-0.788369;
0.00528084;2.69163;-0.761039;
0.00528905;2.72616;-0.732641;
0.00529757;2.76177;-0.703149;
0.00530625;2.79783;-0.673062;
0.00531403;2.83;-0.646023;
0.00532227;2.86385;-0.617375;
0.00533173;2.90249;-0.584416;
0.00534021;2.93693;-0.554811;
0.00534888;2.97189;-0.524527;
0.00535692;3.00411;-0.496413;
0.00536692;3.04393;-0.461384;
0.00537488;3.07541;-0.433464;
0.00538305;3.10752;-0.404782;
0.00539157;3.14077;-0.374849;
0.00540029;3.17461;-0.344149;
0.00540803;3.2044;-0.316911;
0.00541627;3.23591;-0.287893;
0.00542555;3.27114;-0.255184;
0.00543405;3.30318;-0.225188;
0.00544275;3.33568;-0.194506;
0.00545075;3.36539;-0.166243;
0.00546075;3.4022;-0.130919;
0.00546878;3.43152;-0.102541;
0.00547694;3.46109;-0.0736876;
0.00548543;3.49157;-0.0437054;
0.00549423;3.52295;-0.0125708;
0.00550187;3.54995;0.0144348;
0.00551013;3.57889;0.043616;
0.00551912;3.61014;0.0754018;
0.00552765;3.63954;0.105571;
0.00553639;3.66935;0.136441;
0.00554434;3.69624;0.164527;
0.00555434;3.72973;0.199835;
0.00556248;3.75672;0.228569;
0.00557077;3.78393;0.2578;
0.00557913;3.81112;0.287262;
0.00558913;3.84329;0.322486;
0.00559705;3.86851;0.350372;
0.00560551;3.89517;0.380119;
0.00561464;3.92363;0.412193;
0.00562298;3.94933;0.44145;
0.0056315;3.9753;0.471316;
0.00563961;3.99979;0.499739;
0.00564961;4.02959;0.534713;
0.00565758;4.05306;0.562559;
0.00566574;4.07682;0.591025;
0.00567427;4.10134;0.620705;
0.005683;4.12617;0.651095;
0.00569073;4.14787;0.677925;
0.00569897;4.17073;0.706492;
0.00570822;4.19605;0.738492;
0.00571672;4.21903;0.76788;
0.00572542;4.24221;0.797868;
0.00573342;4.26324;0.825393;
0.00574342;4.28915;0.859729;
0.00575146;4.30968;0.887285;
0.00575964;4.33027;0.915242;
0.00576811;4.35128;0.944124;
0.00577695;4.37288;0.974201;
0.00578458;4.39125;1.00011;
0.00579284;4.41085;1.02808;
0.0058018;4.43177;1.05834;
0.00581033;4.45137;1.0871;
0.00581907;4.47109;1.11646;
0.00582702;4.48874;1.14308;
0.00583702;4.51054;1.17648;
0.00584517;4.52798;1.20362;
0.00585347;4.54543;1.23118;
0.00586182;4.56265;1.25879;
0.00587182;4.58288;1.29177;
0.00587972;4.59854;1.31774;
0.00588818;4.61498;1.34546;
0.00589727;4.63227;1.3751;
0.00590561;4.64781;1.40222;
0.00591414;4.66336;1.42985;
0.00592224;4.67782;1.45601;
0.00593224;4.69525;1.48815;
0.00594023;4.70884;1.51374;
0.00594837;4.72236;1.53969;
0.00595689;4.73619;1.56676;
0.00596566;4.75005;1.59447;
0.00597335;4.76193;1.61871;
0.0059816;4.77433;1.64457;
0.00599076;4.78774;1.67317;
0.00599928;4.79984;1.69963;
0.00600799;4.81186;1.72657;
0.00601597;4.82255;1.75115;
0.00602597;4.83551;1.78177;
0.00603405;4.84563;1.80638;
0.00604226;4.85559;1.83128;
0.00605069;4.86547;1.85671;
0.00605964;4.87559;1.88356;
0.00606726;4.8839;1.90631;
