frequency;V(/Vo4) (gain);
22.9087;-0.199896;
23.4423;-0.209194;
23.9883;-0.218918;
24.5471;-0.229088;
25.1189;-0.239724;
25.704;-0.250846;
26.3027;-0.262475;
26.9153;-0.274635;
27.5423;-0.287348;
28.1838;-0.300638;
28.8403;-0.314532;
29.5121;-0.329055;
30.1995;-0.344235;
30.903;-0.3601;
31.6228;-0.376679;
32.3594;-0.394004;
33.1131;-0.412106;
33.8844;-0.431019;
34.6737;-0.450776;
35.4813;-0.471414;
36.3078;-0.492969;
37.1535;-0.515481;
38.0189;-0.538988;
38.9045;-0.563532;
39.8107;-0.589155;
40.738;-0.615903;
41.6869;-0.64382;
42.658;-0.672955;
43.6516;-0.703355;
44.6684;-0.735072;
45.7088;-0.768158;
46.7735;-0.802667;
47.863;-0.838655;
48.9779;-0.876179;
50.1187;-0.915299;
51.2861;-0.956076;
52.4807;-0.998572;
53.7032;-1.04285;
54.9541;-1.08899;
56.2341;-1.13704;
57.544;-1.18709;
58.8844;-1.23919;
60.256;-1.29344;
61.6595;-1.34991;
63.0957;-1.40867;
64.5654;-1.4698;
66.0693;-1.5334;
67.6083;-1.59954;
69.1831;-1.66831;
70.7946;-1.7398;
72.4436;-1.81411;
74.131;-1.89134;
75.8578;-1.97157;
77.6247;-2.05491;
79.4328;-2.14146;
81.2831;-2.23133;
83.1764;-2.32463;
85.1138;-2.42146;
87.0964;-2.52195;
89.1251;-2.62622;
91.2011;-2.73438;
93.3254;-2.84657;
95.4993;-2.96292;
97.7237;-3.08355;
100;-3.20863;
102.329;-3.33829;
104.713;-3.47269;
107.152;-3.61199;
109.648;-3.75635;
112.202;-3.90597;
114.815;-4.06102;
117.49;-4.2217;
120.226;-4.38822;
123.027;-4.5608;
125.893;-4.73969;
128.825;-4.92512;
131.826;-5.11738;
134.896;-5.31674;
138.038;-5.52354;
141.254;-5.73809;
144.544;-5.96077;
147.911;-6.19198;
151.356;-6.43216;
154.882;-6.68177;
158.489;-6.94134;
162.181;-7.21145;
165.959;-7.49273;
169.824;-7.7859;
173.78;-8.09173;
177.828;-8.41112;
181.97;-8.74505;
186.209;-9.09464;
190.546;-9.46116;
194.984;-9.84607;
199.526;-10.251;
