frequency;V(/Vo3) (gain);
47.863;-4.44003;
48.9779;-4.31069;
50.1187;-4.18348;
51.2861;-4.0584;
52.4807;-3.9355;
53.7032;-3.8148;
54.9541;-3.6963;
56.2341;-3.58005;
57.544;-3.46604;
58.8844;-3.3543;
60.256;-3.24484;
61.6595;-3.13767;
63.0957;-3.03279;
64.5654;-2.93022;
66.0693;-2.82995;
67.6083;-2.73198;
69.1831;-2.63632;
70.7946;-2.54295;
72.4436;-2.45188;
74.131;-2.36309;
75.8578;-2.27657;
77.6247;-2.19231;
79.4328;-2.11029;
81.2831;-2.03049;
83.1764;-1.9529;
85.1138;-1.87748;
87.0964;-1.80423;
89.1251;-1.7331;
91.2011;-1.66408;
93.3254;-1.59712;
95.4993;-1.53221;
97.7237;-1.46932;
100;-1.40839;
102.329;-1.34941;
104.713;-1.29234;
107.152;-1.23713;
109.648;-1.18376;
112.202;-1.13218;
114.815;-1.08235;
117.49;-1.03424;
120.226;-0.987801;
123.027;-0.943;
125.893;-0.899794;
128.825;-0.858142;
131.826;-0.818005;
134.896;-0.779341;
138.038;-0.742112;
141.254;-0.706276;
144.544;-0.671795;
147.911;-0.63863;
151.356;-0.606741;
154.882;-0.576091;
158.489;-0.546641;
162.181;-0.518355;
165.959;-0.491197;
169.824;-0.46513;
173.78;-0.44012;
177.828;-0.416132;
181.97;-0.393133;
186.209;-0.371091;
190.546;-0.349973;
194.984;-0.329748;
199.526;-0.310386;
204.174;-0.291859;
208.93;-0.274136;
213.796;-0.257192;
218.776;-0.240998;
223.872;-0.22553;
229.087;-0.210762;
234.423;-0.19667;
239.883;-0.183231;
245.471;-0.170423;
251.189;-0.158223;
257.04;-0.146611;
263.027;-0.135567;
269.153;-0.125073;
275.423;-0.115109;
281.838;-0.105659;
288.403;-0.0967053;
295.121;-0.0882323;
301.995;-0.0802248;
309.03;-0.0726685;
316.228;-0.0655495;
323.594;-0.0588551;
331.131;-0.0525728;
338.844;-0.0466912;
346.737;-0.0411994;
354.813;-0.0360873;
363.078;-0.0313453;
371.535;-0.0269645;
380.189;-0.0229368;
389.045;-0.0192546;
398.107;-0.0159109;
407.38;-0.0128995;
416.869;-0.0102146;
426.58;-0.00785122;
436.516;-0.00580474;
446.684;-0.00407132;
457.088;-0.00264766;
467.735;-0.00153104;
478.63;-0.000719326;
489.779;-0.000210971;
501.187;-5.00138e-06;
512.861;-0.000101023;
524.807;-0.00049922;
537.032;-0.00120035;
549.541;-0.00220576;
562.341;-0.00351737;
575.44;-0.00513768;
588.844;-0.00706977;
602.56;-0.00931734;
616.595;-0.0118846;
630.957;-0.0147766;
645.654;-0.0179986;
660.693;-0.0215568;
676.083;-0.0254579;
691.831;-0.0297092;
707.946;-0.0343187;
724.436;-0.0392951;
741.31;-0.0446475;
758.578;-0.050386;
776.247;-0.0565211;
794.328;-0.0630641;
812.831;-0.0700271;
831.764;-0.0774226;
851.138;-0.0852643;
870.964;-0.0935661;
891.251;-0.102343;
912.011;-0.111611;
933.254;-0.121385;
954.993;-0.131685;
977.237;-0.142526;
1000;-0.153929;
1023.29;-0.165912;
1047.13;-0.178497;
1071.52;-0.191704;
1096.48;-0.205555;
1122.02;-0.220075;
1148.15;-0.235285;
1174.9;-0.251211;
1202.26;-0.26788;
1230.27;-0.285316;
1258.93;-0.303547;
1288.25;-0.322601;
1318.26;-0.342508;
1348.96;-0.363298;
1380.38;-0.385;
1412.54;-0.407647;
1445.44;-0.431271;
1479.11;-0.455905;
1513.56;-0.481583;
1548.82;-0.50834;
1584.89;-0.536211;
1621.81;-0.565233;
1659.59;-0.595442;
1698.24;-0.626876;
1737.8;-0.659572;
1778.28;-0.69357;
1819.7;-0.728908;
1862.09;-0.765625;
1905.46;-0.803762;
1949.84;-0.843358;
1995.26;-0.884454;
2041.74;-0.927089;
2089.3;-0.971305;
2137.96;-1.01714;
2187.76;-1.06464;
2238.72;-1.11384;
2290.87;-1.16477;
2344.23;-1.21749;
2398.83;-1.27203;
2454.71;-1.32842;
2511.89;-1.3867;
2570.4;-1.44691;
2630.27;-1.50909;
2691.53;-1.57326;
2754.23;-1.63946;
2818.38;-1.70773;
2884.03;-1.77809;
2951.21;-1.85057;
3019.95;-1.92519;
3090.3;-2.00199;
3162.28;-2.08099;
3235.94;-2.16219;
3311.31;-2.24564;
3388.44;-2.33133;
3467.37;-2.41929;
3548.13;-2.50953;
3630.78;-2.60206;
3715.35;-2.69689;
3801.89;-2.79402;
3890.45;-2.89345;
3981.07;-2.99518;
4073.8;-3.09922;
4168.69;-3.20556;
4265.8;-3.31419;
4365.16;-3.4251;
4466.84;-3.53829;
4570.88;-3.65372;
4677.35;-3.7714;
4786.3;-3.89131;
4897.79;-4.01341;
5011.87;-4.1377;
5128.61;-4.26414;
5248.07;-4.39271;
5370.32;-4.52338;
5495.41;-4.65612;
5623.41;-4.7909;
5754.4;-4.9277;
5888.44;-5.06646;
6025.6;-5.20717;
6165.95;-5.34978;
6309.57;-5.49425;
6456.54;-5.64056;
6606.93;-5.78865;
6760.83;-5.93849;
6918.31;-6.09005;
7079.46;-6.24328;
7244.36;-6.39813;
7413.1;-6.55458;
7585.78;-6.71257;
7762.47;-6.87208;
7943.28;-7.03305;
8128.31;-7.19545;
8317.64;-7.35923;
8511.38;-7.52436;
8709.64;-7.69079;
8912.51;-7.85849;
9120.11;-8.02742;
9332.54;-8.19754;
9549.93;-8.36881;
9772.37;-8.5412;
10000;-8.71466;
10232.9;-8.88917;
10471.3;-9.06468;
10715.2;-9.24117;
10964.8;-9.41859;
11220.2;-9.59692;
11481.5;-9.77613;
11749;-9.95618;
12022.6;-10.137;
12302.7;-10.3187;
12589.3;-10.5011;
12882.5;-10.6842;
13182.6;-10.868;
13489.6;-11.0525;
13803.8;-11.2376;
14125.4;-11.4234;
14454.4;-11.6098;
14791.1;-11.7967;
15135.6;-11.9842;
15488.2;-12.1722;
15848.9;-12.3607;
16218.1;-12.5497;
16595.9;-12.7392;
16982.4;-12.9291;
17378;-13.1195;
17782.8;-13.3102;
18197;-13.5014;
18620.9;-13.693;
19054.6;-13.8849;
19498.4;-14.0771;
19952.6;-14.2697;
20417.4;-14.4627;
20893;-14.6559;
21379.6;-14.8494;
21877.6;-15.0432;
22387.2;-15.2373;
22908.7;-15.4316;
23442.3;-15.6262;
23988.3;-15.821;
24547.1;-16.0161;
25118.9;-16.2113;
25704;-16.4068;
26302.7;-16.6025;
26915.3;-16.7984;
27542.3;-16.9944;
28183.8;-17.1906;
28840.3;-17.387;
29512.1;-17.5836;
30199.5;-17.7803;
30903;-17.9771;
31622.8;-18.1741;
32359.4;-18.3712;
33113.1;-18.5685;
33884.4;-18.7658;
34673.7;-18.9633;
35481.3;-19.1609;
36307.8;-19.3586;
37153.5;-19.5564;
38018.9;-19.7543;
38904.5;-19.9523;
39810.7;-20.1504;
40738;-20.3486;
41686.9;-20.5469;
42658;-20.7452;
43651.6;-20.9436;
44668.4;-21.1421;
45708.8;-21.3406;
46773.5;-21.5392;
47863;-21.7379;
48977.9;-21.9366;
50118.7;-22.1354;
51286.1;-22.3343;
52480.7;-22.5332;
53703.2;-22.7321;
54954.1;-22.9311;
56234.1;-23.1301;
57544;-23.3292;
58884.4;-23.5283;
60256;-23.7275;
61659.5;-23.9267;
63095.7;-24.1259;
64565.4;-24.3252;
66069.3;-24.5245;
67608.3;-24.7238;
69183.1;-24.9232;
70794.6;-25.1226;
72443.6;-25.322;
74131;-25.5215;
75857.8;-25.7209;
77624.7;-25.9204;
79432.8;-26.1199;
81283.1;-26.3195;
83176.4;-26.519;
85113.8;-26.7186;
87096.4;-26.9182;
89125.1;-27.1178;
91201.1;-27.3175;
93325.4;-27.5171;
95499.3;-27.7168;
97723.7;-27.9165;
100000;-28.1161;
