frequency;V(/Vo2) (gain);
52.4807;-6.62052;
53.7032;-6.46486;
54.9541;-6.31081;
56.2341;-6.15841;
57.544;-6.0077;
58.8844;-5.85872;
60.256;-5.71151;
61.6595;-5.56611;
63.0957;-5.42255;
64.5654;-5.28088;
66.0693;-5.14114;
67.6083;-5.00334;
69.1831;-4.86754;
70.7946;-4.73376;
72.4436;-4.60204;
74.131;-4.4724;
75.8578;-4.34488;
77.6247;-4.2195;
79.4328;-4.09628;
81.2831;-3.97526;
83.1764;-3.85644;
85.1138;-3.73986;
87.0964;-3.62552;
89.1251;-3.51344;
91.2011;-3.40364;
93.3254;-3.29613;
95.4993;-3.19091;
97.7237;-3.08798;
100;-2.98736;
102.329;-2.88904;
104.713;-2.79302;
107.152;-2.6993;
109.648;-2.60787;
112.202;-2.51872;
114.815;-2.43183;
117.49;-2.34721;
120.226;-2.26482;
123.027;-2.18465;
125.893;-2.10669;
128.825;-2.0309;
131.826;-1.95727;
134.896;-1.88577;
138.038;-1.81637;
141.254;-1.74905;
144.544;-1.68376;
147.911;-1.62048;
151.356;-1.55918;
154.882;-1.49982;
158.489;-1.44236;
162.181;-1.38676;
165.959;-1.333;
169.824;-1.28103;
173.78;-1.23081;
177.828;-1.1823;
181.97;-1.13547;
186.209;-1.09026;
190.546;-1.04665;
194.984;-1.00459;
199.526;-0.964033;
204.174;-0.924947;
208.93;-0.887289;
213.796;-0.851019;
218.776;-0.816096;
223.872;-0.78248;
229.087;-0.750133;
234.423;-0.719015;
239.883;-0.689088;
245.471;-0.660314;
251.189;-0.632656;
257.04;-0.606078;
263.027;-0.580543;
269.153;-0.556016;
275.423;-0.532463;
281.838;-0.50985;
288.403;-0.488145;
295.121;-0.467315;
301.995;-0.447328;
309.03;-0.428155;
316.228;-0.409765;
323.594;-0.39213;
331.131;-0.375222;
338.844;-0.359013;
346.737;-0.343477;
354.813;-0.328588;
363.078;-0.314321;
371.535;-0.300653;
380.189;-0.287559;
389.045;-0.275018;
398.107;-0.263007;
407.38;-0.251506;
416.869;-0.240494;
426.58;-0.229952;
436.516;-0.21986;
446.684;-0.2102;
457.088;-0.200955;
467.735;-0.192107;
478.63;-0.183641;
489.779;-0.175541;
501.187;-0.167791;
512.861;-0.160377;
524.807;-0.153284;
537.032;-0.1465;
549.541;-0.140012;
562.341;-0.133806;
575.44;-0.127872;
588.844;-0.122197;
602.56;-0.11677;
616.595;-0.111582;
630.957;-0.106621;
645.654;-0.101878;
660.693;-0.0973438;
676.083;-0.0930092;
691.831;-0.0888656;
707.946;-0.0849048;
724.436;-0.081119;
741.31;-0.0775004;
758.578;-0.0740418;
776.247;-0.0707364;
794.328;-0.0675774;
812.831;-0.0645584;
831.764;-0.0616733;
851.138;-0.0589163;
870.964;-0.0562817;
891.251;-0.0537643;
912.011;-0.0513587;
933.254;-0.0490602;
954.993;-0.046864;
977.237;-0.0447656;
1000;-0.0427607;
1023.29;-0.0408452;
1047.13;-0.0390151;
1071.52;-0.0372666;
1096.48;-0.0355962;
1122.02;-0.0340004;
1148.15;-0.0324758;
1174.9;-0.0310194;
1202.26;-0.029628;
1230.27;-0.0282989;
1258.93;-0.0270292;
1288.25;-0.0258162;
1318.26;-0.0246576;
1348.96;-0.0235508;
1380.38;-0.0224936;
1412.54;-0.0214837;
1445.44;-0.0205191;
1479.11;-0.0195977;
1513.56;-0.0187175;
