frequency;V(/Vo3) (gain);
46.7735;-33.661;
47.863;-33.4575;
48.9779;-33.2538;
50.1187;-33.05;
51.2861;-32.846;
52.4807;-32.6418;
53.7032;-32.4375;
54.9541;-32.2329;
56.2341;-32.028;
57.544;-31.823;
58.8844;-31.6177;
60.256;-31.4122;
61.6595;-31.2064;
63.0957;-31.0003;
64.5654;-30.7939;
66.0693;-30.5872;
67.6083;-30.3803;
69.1831;-30.1729;
70.7946;-29.9652;
72.4436;-29.7572;
74.131;-29.5487;
75.8578;-29.3399;
77.6247;-29.1306;
79.4328;-28.9209;
81.2831;-28.7107;
83.1764;-28.5;
85.1138;-28.2889;
87.0964;-28.0771;
89.1251;-27.8648;
91.2011;-27.6519;
93.3254;-27.4384;
95.4993;-27.2242;
97.7237;-27.0093;
100;-26.7937;
102.329;-26.5773;
104.713;-26.3601;
107.152;-26.1421;
109.648;-25.9232;
112.202;-25.7033;
114.815;-25.4825;
117.49;-25.2607;
120.226;-25.0377;
123.027;-24.8136;
125.893;-24.5884;
128.825;-24.3618;
131.826;-24.1339;
134.896;-23.9046;
138.038;-23.6738;
141.254;-23.4415;
144.544;-23.2075;
147.911;-22.9718;
151.356;-22.7343;
154.882;-22.4948;
158.489;-22.2533;
162.181;-22.0096;
165.959;-21.7636;
169.824;-21.5153;
173.78;-21.2643;
177.828;-21.0107;
181.97;-20.7542;
186.209;-20.4947;
190.546;-20.232;
194.984;-19.9659;
199.526;-19.6961;
204.174;-19.4225;
208.93;-19.1448;
213.796;-18.8627;
218.776;-18.576;
223.872;-18.2844;
229.087;-17.9875;
234.423;-17.6849;
239.883;-17.3763;
245.471;-17.0612;
251.189;-16.7392;
257.04;-16.4097;
263.027;-16.0723;
269.153;-15.7262;
275.423;-15.3709;
281.838;-15.0055;
288.403;-14.6293;
295.121;-14.2413;
301.995;-13.8406;
309.03;-13.4259;
316.228;-12.9962;
323.594;-12.5498;
331.131;-12.0854;
338.844;-11.6011;
346.737;-11.095;
354.813;-10.5649;
363.078;-10.0082;
371.535;-9.42232;
380.189;-8.80423;
389.045;-8.15071;
398.107;-7.45846;
407.38;-6.72437;
416.869;-5.94601;
426.58;-5.12272;
436.516;-4.25742;
446.684;-3.36011;
457.088;-2.45338;
467.735;-1.58064;
478.63;-0.814342;
489.779;-0.255045;
501.187;-0.00622267;
512.861;-0.123996;
524.807;-0.580956;
537.032;-1.28457;
549.541;-2.12862;
562.341;-3.02938;
575.44;-3.93364;
588.844;-4.81226;
602.56;-5.65146;
616.595;-6.44624;
630.957;-7.19623;
645.654;-7.90337;
660.693;-8.5706;
676.083;-9.20122;
691.831;-9.79846;
707.946;-10.3654;
724.436;-10.9049;
741.31;-11.4195;
758.578;-11.9115;
776.247;-12.383;
794.328;-12.8357;
812.831;-13.2713;
831.764;-13.6913;
851.138;-14.097;
870.964;-14.4895;
891.251;-14.8699;
912.011;-15.2391;
933.254;-15.598;
954.993;-15.9473;
977.237;-16.2879;
1000;-16.6201;
1023.29;-16.9448;
1047.13;-17.2623;
1071.52;-17.5733;
1096.48;-17.878;
1122.02;-18.1769;
1148.15;-18.4705;
1174.9;-18.7589;
1202.26;-19.0426;
1230.27;-19.3219;
1258.93;-19.597;
1288.25;-19.8681;
1318.26;-20.1355;
