frequency;V(/Vo1) (gain);
15.4882;-0.00105276;
15.8489;-0.00110237;
16.2181;-0.00115432;
16.5959;-0.00120871;
16.9824;-0.00126567;
17.378;-0.00132531;
17.7828;-0.00138776;
18.197;-0.00145315;
18.6209;-0.00152163;
19.0546;-0.00159332;
19.4984;-0.0016684;
19.9526;-0.00174702;
20.4174;-0.00182933;
20.893;-0.00191553;
21.3796;-0.00200578;
21.8776;-0.00210029;
22.3872;-0.00219925;
22.9087;-0.00230287;
23.4423;-0.00241137;
23.9883;-0.00252498;
24.5471;-0.00264394;
25.1189;-0.00276851;
25.704;-0.00289894;
26.3027;-0.00303551;
26.9153;-0.00317852;
27.5423;-0.00332826;
28.1838;-0.00348506;
28.8403;-0.00364923;
29.5121;-0.00382114;
30.1995;-0.00400114;
30.903;-0.00418962;
31.6228;-0.00438697;
32.3594;-0.00459361;
33.1131;-0.00480998;
33.8844;-0.00503654;
34.6737;-0.00527376;
35.4813;-0.00552215;
36.3078;-0.00578222;
37.1535;-0.00605454;
38.0189;-0.00633967;
38.9045;-0.00663823;
39.8107;-0.00695083;
40.738;-0.00727813;
41.6869;-0.00762084;
42.658;-0.00797967;
43.6516;-0.00835538;
44.6684;-0.00874876;
45.7088;-0.00916064;
46.7735;-0.00959189;
47.863;-0.0100434;
48.9779;-0.0105162;
50.1187;-0.0110112;
51.2861;-0.0115294;
52.4807;-0.012072;
53.7032;-0.0126401;
54.9541;-0.0132349;
56.2341;-0.0138577;
57.544;-0.0145097;
58.8844;-0.0151923;
60.256;-0.015907;
61.6595;-0.0166552;
63.0957;-0.0174386;
64.5654;-0.0182587;
66.0693;-0.0191174;
67.6083;-0.0200163;
69.1831;-0.0209573;
70.7946;-0.0219425;
72.4436;-0.0229739;
74.131;-0.0240536;
75.8578;-0.025184;
77.6247;-0.0263673;
79.4328;-0.027606;
81.2831;-0.0289027;
83.1764;-0.0302601;
85.1138;-0.031681;
87.0964;-0.0331684;
89.1251;-0.0347253;
91.2011;-0.0363551;
93.3254;-0.0380609;
95.4993;-0.0398465;
97.7237;-0.0417154;
100;-0.0436715;
102.329;-0.0457189;
104.713;-0.0478618;
107.152;-0.0501045;
109.648;-0.0524516;
112.202;-0.054908;
114.815;-0.0574787;
117.49;-0.0601689;
120.226;-0.0629841;
123.027;-0.06593;
125.893;-0.0690127;
128.825;-0.0722382;
131.826;-0.0756132;
134.896;-0.0791445;
138.038;-0.0828391;
141.254;-0.0867045;
144.544;-0.0907483;
147.911;-0.0949787;
151.356;-0.0994041;
154.882;-0.104033;
158.489;-0.108875;
162.181;-0.11394;
165.959;-0.119236;
169.824;-0.124776;
173.78;-0.130569;
177.828;-0.136626;
181.97;-0.142961;
186.209;-0.149583;
190.546;-0.156507;
194.984;-0.163746;
199.526;-0.171313;
204.174;-0.179222;
208.93;-0.187489;
213.796;-0.196128;
218.776;-0.205157;
223.872;-0.21459;
229.087;-0.224447;
234.423;-0.234744;
239.883;-0.2455;
245.471;-0.256734;
251.189;-0.268467;
257.04;-0.280719;
263.027;-0.293512;
269.153;-0.306867;
275.423;-0.320808;
281.838;-0.335358;
288.403;-0.350541;
295.121;-0.366384;
301.995;-0.382911;
309.03;-0.40015;
316.228;-0.418129;
323.594;-0.436875;
331.131;-0.456419;
338.844;-0.476789;
346.737;-0.498018;
354.813;-0.520137;
363.078;-0.543178;
371.535;-0.567175;
380.189;-0.592161;
389.045;-0.618171;
398.107;-0.645242;
407.38;-0.673409;
416.869;-0.702708;
426.58;-0.733178;
436.516;-0.764857;
446.684;-0.797782;
457.088;-0.831994;
467.735;-0.867532;
478.63;-0.904436;
489.779;-0.942745;
501.187;-0.982501;
512.861;-1.02374;
524.807;-1.06652;
537.032;-1.11086;
549.541;-1.15681;
562.341;-1.20441;
575.44;-1.2537;
588.844;-1.30472;
602.56;-1.35751;
616.595;-1.41211;
630.957;-1.46855;
645.654;-1.52688;
660.693;-1.58713;
676.083;-1.64934;
691.831;-1.71354;
707.946;-1.77976;
724.436;-1.84804;
741.31;-1.9184;
758.578;-1.99088;
776.247;-2.06549;
794.328;-2.14228;
812.831;-2.22125;
831.764;-2.30244;
851.138;-2.38585;
870.964;-2.47152;
891.251;-2.55944;
912.011;-2.64964;
933.254;-2.74213;
954.993;-2.8369;
977.237;-2.93398;
1000;-3.03336;
1023.29;-3.13504;
1047.13;-3.23902;
1071.52;-3.3453;
1096.48;-3.45387;
1122.02;-3.56471;
1148.15;-3.67783;
1174.9;-3.7932;
1202.26;-3.91082;
1230.27;-4.03065;
1258.93;-4.15269;
1288.25;-4.2769;
1318.26;-4.40327;
1348.96;-4.53177;
1380.38;-4.66237;
1412.54;-4.79504;
1445.44;-4.92976;
1479.11;-5.06648;
1513.56;-5.20518;
1548.82;-5.34581;
1584.89;-5.48835;
1621.81;-5.63276;
1659.59;-5.779;
1698.24;-5.92703;
1737.8;-6.07681;
1778.28;-6.2283;
1819.7;-6.38147;
1862.09;-6.53626;
1905.46;-6.69265;
1949.84;-6.85058;
1995.26;-7.01003;
2041.74;-7.17094;
2089.3;-7.33329;
2137.96;-7.49702;
2187.76;-7.66209;
2238.72;-7.82848;
2290.87;-7.99613;
2344.23;-8.16501;
2398.83;-8.33509;
2454.71;-8.50631;
2511.89;-8.67865;
2570.4;-8.85207;
2630.27;-9.02654;
2691.53;-9.20201;
2754.23;-9.37846;
2818.38;-9.55585;
2884.03;-9.73414;
2951.21;-9.91331;
3019.95;-10.0933;
3090.3;-10.2742;
3162.28;-10.4558;
3235.94;-10.6381;
3311.31;-10.8212;
3388.44;-11.005;
3467.37;-11.1895;
3548.13;-11.3746;
3630.78;-11.5603;
3715.35;-11.7466;
3801.89;-11.9336;
3890.45;-12.121;
3981.07;-12.309;
4073.8;-12.4975;
4168.69;-12.6865;
4265.8;-12.8759;
4365.16;-13.0659;
4466.84;-13.2562;
4570.88;-13.447;
4677.35;-13.6381;
4786.3;-13.8296;
4897.79;-14.0215;
5011.87;-14.2138;
5128.61;-14.4064;
5248.07;-14.5993;
5370.32;-14.7925;
5495.41;-14.986;
5623.41;-15.1798;
5754.4;-15.3739;
5888.44;-15.5682;
6025.6;-15.7628;
6165.95;-15.9576;
6309.57;-16.1526;
6456.54;-16.3479;
6606.93;-16.5433;
